PDF,Seite,Leitidee,Stufe,Begriff,Anzahl
Zahlenbuch 6.pdf,42,Globale Entwicklung und Frieden,Stufe 1,Frieden,2
Zahlenbuch 6.pdf,42,Globale Entwicklung und Frieden,Stufe 2,Frieden,2
Zahlenbuch 6.pdf,42,Globale Entwicklung und Frieden,Stufe 1,Gruppe,2
Zahlenbuch 6.pdf,42,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,3
Zahlenbuch 6.pdf,42,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,1
Zahlenbuch 6.pdf,42,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,2
Zahlenbuch 6.pdf,42,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Familie,6
Zahlenbuch 6.pdf,42,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Gruppe,2
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,3
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 1,Berg,1
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,2
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 3,Verbrauch,1
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,2
Zahlenbuch 6.pdf,42,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,2
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 3,Frieden,2
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 2,Gesetz,1
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 1,Gruppe,2
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,1
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 1,Ordnung,1
Zahlenbuch 6.pdf,42,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,2
Zahlenbuch 6.pdf,42,Wirtschaft und Konsum,Stufe 1,Geld,1
Zahlenbuch 6.pdf,42,Wirtschaft und Konsum,Stufe 1,Kauf,1
Zahlenbuch 6.pdf,42,Wirtschaft und Konsum,Stufe 2,Kosten,3
Zahlenbuch 6.pdf,42,Wirtschaft und Konsum,Stufe 1,Lohn,1
Zahlenbuch 6.pdf,42,Wirtschaft und Konsum,Stufe 2,Verbrauch,1
Zahlenbuch 6.pdf,43,Geschlechter und Gleichstellung,Stufe 1,gleich,2
Zahlenbuch 6.pdf,43,Gesundheit,Stufe 1,Alter,1
Zahlenbuch 6.pdf,43,Gesundheit,Stufe 1,Essen,3
Zahlenbuch 6.pdf,43,Gesundheit,Stufe 1,Rein,16
Zahlenbuch 6.pdf,43,Globale Entwicklung und Frieden,Stufe 1,Hilfe,1
Zahlenbuch 6.pdf,43,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,3
Zahlenbuch 6.pdf,43,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,2
Zahlenbuch 6.pdf,43,Wirtschaft und Konsum,Stufe 2,Marke,3
Zahlenbuch 6.pdf,44,Geschlechter und Gleichstellung,Stufe 1,Mann,1
Zahlenbuch 6.pdf,44,Gesundheit,Stufe 1,Rein,3
Zahlenbuch 6.pdf,44,"Politik, Demokratie und Menschenrechte",Stufe 1,Regeln,1
Zahlenbuch 6.pdf,45,Geschlechter und Gleichstellung,Stufe 1,Mann,2
Zahlenbuch 6.pdf,45,Geschlechter und Gleichstellung,Stufe 1,Rolle,1
Zahlenbuch 6.pdf,45,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,45,Gesundheit,Stufe 1,Alter,3
Zahlenbuch 6.pdf,45,Gesundheit,Stufe 1,Essen,1
Zahlenbuch 6.pdf,45,Gesundheit,Stufe 1,Körper,9
Zahlenbuch 6.pdf,45,Gesundheit,Stufe 1,Luft,2
Zahlenbuch 6.pdf,45,Gesundheit,Stufe 1,Rein,1
Zahlenbuch 6.pdf,45,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,2
Zahlenbuch 6.pdf,45,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,2
Zahlenbuch 6.pdf,45,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,1
Zahlenbuch 6.pdf,45,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,2
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,2
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,2
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 1,Luft,2
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 1,Stoff,2
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,1
Zahlenbuch 6.pdf,45,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,1
Zahlenbuch 6.pdf,45,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,45,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,3
Zahlenbuch 6.pdf,46,Geschlechter und Gleichstellung,Stufe 1,Mann,1
Zahlenbuch 6.pdf,46,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,46,Gesundheit,Stufe 1,Alter,1
Zahlenbuch 6.pdf,46,Gesundheit,Stufe 1,Körper,7
Zahlenbuch 6.pdf,46,Gesundheit,Stufe 1,Rein,1
Zahlenbuch 6.pdf,46,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,46,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,2
Zahlenbuch 6.pdf,47,Geschlechter und Gleichstellung,Stufe 1,Mann,1
Zahlenbuch 6.pdf,47,Geschlechter und Gleichstellung,Stufe 1,gleich,9
Zahlenbuch 6.pdf,47,Gesundheit,Stufe 1,Rein,2
Zahlenbuch 6.pdf,47,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,1
Zahlenbuch 6.pdf,47,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,47,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,1
Zahlenbuch 6.pdf,47,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,47,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,9
Zahlenbuch 6.pdf,47,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,2
Zahlenbuch 6.pdf,47,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,3
Zahlenbuch 6.pdf,47,Wirtschaft und Konsum,Stufe 1,Ware,1
Zahlenbuch 6.pdf,48,Geschlechter und Gleichstellung,Stufe 2,Bildung,2
Zahlenbuch 6.pdf,48,Geschlechter und Gleichstellung,Stufe 1,Mann,2
Zahlenbuch 6.pdf,48,Geschlechter und Gleichstellung,Stufe 2,Recht,9
Zahlenbuch 6.pdf,48,Geschlechter und Gleichstellung,Stufe 3,Unterschied,1
Zahlenbuch 6.pdf,48,Geschlechter und Gleichstellung,Stufe 1,gleich,4
Zahlenbuch 6.pdf,48,Globale Entwicklung und Frieden,Stufe 3,Bildung,2
Zahlenbuch 6.pdf,48,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,1
Zahlenbuch 6.pdf,48,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,4
Zahlenbuch 6.pdf,48,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,9
Zahlenbuch 6.pdf,48,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,9
Zahlenbuch 6.pdf,48,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,7
Zahlenbuch 6.pdf,49,Geschlechter und Gleichstellung,Stufe 2,Anteil,7
Zahlenbuch 6.pdf,49,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,6
Zahlenbuch 6.pdf,49,Geschlechter und Gleichstellung,Stufe 2,Recht,2
Zahlenbuch 6.pdf,49,Gesundheit,Stufe 1,Rein,1
Zahlenbuch 6.pdf,49,Globale Entwicklung und Frieden,Stufe 1,Hilfe,1
Zahlenbuch 6.pdf,49,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,2
Zahlenbuch 6.pdf,49,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,2
Zahlenbuch 6.pdf,49,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,8
Zahlenbuch 6.pdf,49,Wirtschaft und Konsum,Stufe 2,Marke,1
Zahlenbuch 6.pdf,50,Geschlechter und Gleichstellung,Stufe 2,Anteil,9
Zahlenbuch 6.pdf,50,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,2
Zahlenbuch 6.pdf,50,Geschlechter und Gleichstellung,Stufe 3,Unterschied,2
Zahlenbuch 6.pdf,50,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,50,Gesundheit,Stufe 1,Alter,1
Zahlenbuch 6.pdf,50,Gesundheit,Stufe 1,Rein,4
Zahlenbuch 6.pdf,50,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,50,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,2
Zahlenbuch 6.pdf,50,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,50,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,1
Zahlenbuch 6.pdf,50,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,2
Zahlenbuch 6.pdf,51,Geschlechter und Gleichstellung,Stufe 2,Anteil,5
Zahlenbuch 6.pdf,51,Geschlechter und Gleichstellung,Stufe 2,Bildung,1
Zahlenbuch 6.pdf,51,Geschlechter und Gleichstellung,Stufe 2,Recht,1
Zahlenbuch 6.pdf,51,Geschlechter und Gleichstellung,Stufe 3,Unterschied,2
Zahlenbuch 6.pdf,51,Geschlechter und Gleichstellung,Stufe 1,gleich,2
Zahlenbuch 6.pdf,51,Gesundheit,Stufe 1,Alter,1
Zahlenbuch 6.pdf,51,Gesundheit,Stufe 1,Essen,1
Zahlenbuch 6.pdf,51,Gesundheit,Stufe 1,Rein,4
Zahlenbuch 6.pdf,51,Globale Entwicklung und Frieden,Stufe 3,Bildung,1
Zahlenbuch 6.pdf,51,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,2
Zahlenbuch 6.pdf,51,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,1
Zahlenbuch 6.pdf,51,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,2
Zahlenbuch 6.pdf,51,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Werte,1
Zahlenbuch 6.pdf,51,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,2
Zahlenbuch 6.pdf,51,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,2
Zahlenbuch 6.pdf,51,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,1
Zahlenbuch 6.pdf,51,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,1
Zahlenbuch 6.pdf,51,"Politik, Demokratie und Menschenrechte",Stufe 1,Wert,1
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 2,Anteil,1
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,3
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 1,Mann,2
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 2,Recht,1
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 1,Rolle,1
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 3,Unterschied,2
Zahlenbuch 6.pdf,52,Geschlechter und Gleichstellung,Stufe 1,gleich,12
Zahlenbuch 6.pdf,52,Gesundheit,Stufe 1,Rein,2
Zahlenbuch 6.pdf,52,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,1
Zahlenbuch 6.pdf,52,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,2
Zahlenbuch 6.pdf,52,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,52,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,1
Zahlenbuch 6.pdf,52,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,2
Zahlenbuch 6.pdf,52,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Werte,6
Zahlenbuch 6.pdf,52,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,2
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,12
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,1
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 1,Ordnung,5
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,1
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,1
Zahlenbuch 6.pdf,52,"Politik, Demokratie und Menschenrechte",Stufe 1,Wert,6
Zahlenbuch 6.pdf,53,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,53,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,53,Gesundheit,Stufe 1,Essen,1
Zahlenbuch 6.pdf,53,Gesundheit,Stufe 1,Rein,9
Zahlenbuch 6.pdf,53,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,1
Zahlenbuch 6.pdf,53,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,1
Zahlenbuch 6.pdf,53,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,1
Zahlenbuch 6.pdf,53,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,4
Zahlenbuch 6.pdf,53,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,53,"Politik, Demokratie und Menschenrechte",Stufe 1,Regeln,1
Zahlenbuch 6.pdf,53,Wirtschaft und Konsum,Stufe 2,Hersteller,1
Zahlenbuch 6.pdf,53,Wirtschaft und Konsum,Stufe 1,Tausch,1
Zahlenbuch 6.pdf,54,Geschlechter und Gleichstellung,Stufe 1,Mann,2
Zahlenbuch 6.pdf,54,Geschlechter und Gleichstellung,Stufe 1,Partner,1
Zahlenbuch 6.pdf,54,Geschlechter und Gleichstellung,Stufe 1,Rolle,2
Zahlenbuch 6.pdf,54,Geschlechter und Gleichstellung,Stufe 1,gleich,5
Zahlenbuch 6.pdf,54,Gesundheit,Stufe 1,Alter,2
Zahlenbuch 6.pdf,54,Gesundheit,Stufe 1,Essen,1
Zahlenbuch 6.pdf,54,Gesundheit,Stufe 1,Rein,3
Zahlenbuch 6.pdf,54,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,1
Zahlenbuch 6.pdf,54,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,1
Zahlenbuch 6.pdf,54,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,1
Zahlenbuch 6.pdf,54,Natürliche Umwelt und Ressourcen,Stufe 2,Material,1
Zahlenbuch 6.pdf,54,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,54,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,5
Zahlenbuch 6.pdf,54,"Politik, Demokratie und Menschenrechte",Stufe 1,Macht,1
Zahlenbuch 6.pdf,54,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,2
Zahlenbuch 6.pdf,55,Geschlechter und Gleichstellung,Stufe 1,Arbeit,1
Zahlenbuch 6.pdf,55,Geschlechter und Gleichstellung,Stufe 2,Arbeit,1
Zahlenbuch 6.pdf,55,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,55,Gesundheit,Stufe 1,Rein,4
Zahlenbuch 6.pdf,55,Globale Entwicklung und Frieden,Stufe 1,Land,3
Zahlenbuch 6.pdf,55,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,7
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,7
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 1,Berg,2
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,2
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 2,Landschaft,3
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 1,Wald,1
Zahlenbuch 6.pdf,55,Natürliche Umwelt und Ressourcen,Stufe 2,Wald,1
Zahlenbuch 6.pdf,55,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,55,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,1
Zahlenbuch 6.pdf,55,Wirtschaft und Konsum,Stufe 1,Arbeit,1
Zahlenbuch 6.pdf,56,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,56,Geschlechter und Gleichstellung,Stufe 3,Unterschied,1
Zahlenbuch 6.pdf,56,Gesundheit,Stufe 1,Alter,3
Zahlenbuch 6.pdf,56,Gesundheit,Stufe 1,Rein,2
Zahlenbuch 6.pdf,56,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,1
Zahlenbuch 6.pdf,56,Globale Entwicklung und Frieden,Stufe 1,Handel,2
Zahlenbuch 6.pdf,56,Globale Entwicklung und Frieden,Stufe 2,Handel,2
Zahlenbuch 6.pdf,56,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,2
Zahlenbuch 6.pdf,56,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,56,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,1
Zahlenbuch 6.pdf,56,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,1
Zahlenbuch 6.pdf,56,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Wohnen,1
Zahlenbuch 6.pdf,56,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,2
Zahlenbuch 6.pdf,56,Natürliche Umwelt und Ressourcen,Stufe 1,Berg,3
Zahlenbuch 6.pdf,56,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,4
Zahlenbuch 6.pdf,56,Natürliche Umwelt und Ressourcen,Stufe 2,Stein,2
Zahlenbuch 6.pdf,56,"Politik, Demokratie und Menschenrechte",Stufe 1,Regeln,1
Zahlenbuch 6.pdf,56,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,1
Zahlenbuch 6.pdf,56,"Politik, Demokratie und Menschenrechte",Stufe 2,Wahl,1
Zahlenbuch 6.pdf,56,Wirtschaft und Konsum,Stufe 1,Handel,2
Zahlenbuch 6.pdf,56,Wirtschaft und Konsum,Stufe 2,Handel,2
Zahlenbuch 6.pdf,57,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,57,Geschlechter und Gleichstellung,Stufe 2,Bildung,1
Zahlenbuch 6.pdf,57,Geschlechter und Gleichstellung,Stufe 1,Mann,2
Zahlenbuch 6.pdf,57,Geschlechter und Gleichstellung,Stufe 1,gleich,2
Zahlenbuch 6.pdf,57,Gesundheit,Stufe 1,Alter,2
Zahlenbuch 6.pdf,57,Gesundheit,Stufe 1,Essen,1
Zahlenbuch 6.pdf,57,Globale Entwicklung und Frieden,Stufe 3,Bildung,1
Zahlenbuch 6.pdf,57,Globale Entwicklung und Frieden,Stufe 1,Hilfe,1
Zahlenbuch 6.pdf,57,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,1
Zahlenbuch 6.pdf,57,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,57,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,2
Zahlenbuch 6.pdf,57,"Politik, Demokratie und Menschenrechte",Stufe 1,Ordnung,1
Zahlenbuch 6.pdf,57,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,1
Zahlenbuch 6.pdf,57,Wirtschaft und Konsum,Stufe 1,Ware,1
Zahlenbuch 6.pdf,58,Geschlechter und Gleichstellung,Stufe 2,Recht,1
Zahlenbuch 6.pdf,58,Geschlechter und Gleichstellung,Stufe 3,Unterschied,1
Zahlenbuch 6.pdf,58,Geschlechter und Gleichstellung,Stufe 3,Verteilung,1
Zahlenbuch 6.pdf,58,Gesundheit,Stufe 1,Bewegung,1
Zahlenbuch 6.pdf,58,Gesundheit,Stufe 2,Bewegung,1
Zahlenbuch 6.pdf,58,Gesundheit,Stufe 1,Luft,1
Zahlenbuch 6.pdf,58,Globale Entwicklung und Frieden,Stufe 2,Verteilung,1
Zahlenbuch 6.pdf,58,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,1
Zahlenbuch 6.pdf,58,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,1
Zahlenbuch 6.pdf,58,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,2
Zahlenbuch 6.pdf,58,Natürliche Umwelt und Ressourcen,Stufe 1,Luft,1
Zahlenbuch 6.pdf,58,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,2
Zahlenbuch 6.pdf,58,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,2
Zahlenbuch 6.pdf,58,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,1
Zahlenbuch 6.pdf,58,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,1
Zahlenbuch 6.pdf,58,"Politik, Demokratie und Menschenrechte",Stufe 2,Verteilung,1
Zahlenbuch 6.pdf,58,Wirtschaft und Konsum,Stufe 1,Kauf,1
Zahlenbuch 6.pdf,58,Wirtschaft und Konsum,Stufe 2,Kunde,1
Zahlenbuch 6.pdf,58,Wirtschaft und Konsum,Stufe 1,Verkauf,1
Zahlenbuch 6.pdf,58,Wirtschaft und Konsum,Stufe 2,Verkauf,1
Zahlenbuch 6.pdf,59,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,59,Geschlechter und Gleichstellung,Stufe 1,gleich,3
Zahlenbuch 6.pdf,59,Gesundheit,Stufe 1,Rein,9
Zahlenbuch 6.pdf,59,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,4
Zahlenbuch 6.pdf,59,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,4
Zahlenbuch 6.pdf,59,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,59,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,3
Zahlenbuch 6.pdf,59,"Politik, Demokratie und Menschenrechte",Stufe 1,Macht,3
Zahlenbuch 6.pdf,59,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,1
Zahlenbuch 6.pdf,59,Wirtschaft und Konsum,Stufe 1,Tausch,1
Zahlenbuch 6.pdf,59,Wirtschaft und Konsum,Stufe 1,Ware,2
Zahlenbuch 6.pdf,60,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,60,Geschlechter und Gleichstellung,Stufe 1,Mann,1
Zahlenbuch 6.pdf,60,Geschlechter und Gleichstellung,Stufe 3,Unterschied,1
Zahlenbuch 6.pdf,60,Geschlechter und Gleichstellung,Stufe 1,gleich,1
Zahlenbuch 6.pdf,60,Gesundheit,Stufe 1,Rein,6
Zahlenbuch 6.pdf,60,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,1
Zahlenbuch 6.pdf,60,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,60,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Unterschiede,1
Zahlenbuch 6.pdf,60,Natürliche Umwelt und Ressourcen,Stufe 2,Arten,1
Zahlenbuch 6.pdf,60,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,60,"Politik, Demokratie und Menschenrechte",Stufe 3,Gleichheit,1
Zahlenbuch 6.pdf,60,Wirtschaft und Konsum,Stufe 1,Produkt,2
Zahlenbuch 6.pdf,60,Wirtschaft und Konsum,Stufe 2,Produktion,2
Zahlenbuch 6.pdf,60,Wirtschaft und Konsum,Stufe 3,Produktion,2
Zahlenbuch 6.pdf,60,Wirtschaft und Konsum,Stufe 1,Tausch,1
Zahlenbuch 6.pdf,61,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,61,Geschlechter und Gleichstellung,Stufe 2,Bildung,4
Zahlenbuch 6.pdf,61,Geschlechter und Gleichstellung,Stufe 1,Mann,3
Zahlenbuch 6.pdf,61,Geschlechter und Gleichstellung,Stufe 2,Recht,7
Zahlenbuch 6.pdf,61,Gesundheit,Stufe 1,Alter,1
Zahlenbuch 6.pdf,61,Gesundheit,Stufe 1,Rein,1
Zahlenbuch 6.pdf,61,Globale Entwicklung und Frieden,Stufe 3,Bildung,4
Zahlenbuch 6.pdf,61,Globale Entwicklung und Frieden,Stufe 1,Gemeinschaft,1
Zahlenbuch 6.pdf,61,Globale Entwicklung und Frieden,Stufe 1,Handel,1
Zahlenbuch 6.pdf,61,Globale Entwicklung und Frieden,Stufe 2,Handel,1
Zahlenbuch 6.pdf,61,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,1
Zahlenbuch 6.pdf,61,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 3,Gemeinsamkeiten,1
Zahlenbuch 6.pdf,61,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Gemeinschaft,1
Zahlenbuch 6.pdf,61,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,1
Zahlenbuch 6.pdf,61,"Politik, Demokratie und Menschenrechte",Stufe 3,Mehrheit,1
Zahlenbuch 6.pdf,61,"Politik, Demokratie und Menschenrechte",Stufe 1,Recht,7
Zahlenbuch 6.pdf,61,"Politik, Demokratie und Menschenrechte",Stufe 2,Rechte,7
Zahlenbuch 6.pdf,61,"Politik, Demokratie und Menschenrechte",Stufe 1,Regeln,1
Zahlenbuch 6.pdf,61,"Politik, Demokratie und Menschenrechte",Stufe 1,Stimme,2
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 1,Handel,1
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 2,Handel,1
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 1,Produkt,1
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 2,Produktion,1
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 3,Produktion,1
Zahlenbuch 6.pdf,61,Wirtschaft und Konsum,Stufe 1,Tausch,1
Zahlenbuch 6.pdf,62,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,1
Zahlenbuch 6.pdf,62,Geschlechter und Gleichstellung,Stufe 1,gleich,3
Zahlenbuch 6.pdf,62,Gesundheit,Stufe 1,Alter,1
