PDF,Seite,Leitidee,Stufe,Begriff,Exakt,Flexion,Kompositum,Wortteil,Anzahl_Gesamt,Score_Gewichtet
84000_mb1_sb_Livebook_211019.pdf,7,Natürliche Umwelt und Ressourcen,Stufe 1,Wasser,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,7,Natürliche Umwelt und Ressourcen,Stufe 2,Wasser,0,0,1,0,1,0.5
"84000_mb1_sb_Livebook_211019.pdf,7,""Politik, Demokratie und Menschenrechte"",Stufe 1,Regeln,0,0,1,0,1,0.5"
"84000_mb1_sb_Livebook_211019.pdf,7,""Politik, Demokratie und Menschenrechte"",Stufe 1,Wert,0,0,0,1,1,0.1"
84000_mb1_sb_Livebook_211019.pdf,7,Wirtschaft und Konsum,Stufe 2,Kosten,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,7,Wirtschaft und Konsum,Stufe 1,Produkt,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,7,Wirtschaft und Konsum,Stufe 2,Produktion,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,7,Wirtschaft und Konsum,Stufe 3,Produktion,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,7,Wirtschaft und Konsum,Stufe 3,Verpackung,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,8,Geschlechter und Gleichstellung,Stufe 2,Anteil,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,8,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,2,0,0,0,2,2.0
84000_mb1_sb_Livebook_211019.pdf,8,Geschlechter und Gleichstellung,Stufe 2,Bildung,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,8,Geschlechter und Gleichstellung,Stufe 1,Mann,0,2,0,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,8,Geschlechter und Gleichstellung,Stufe 1,gleich,0,0,0,2,2,0.2
84000_mb1_sb_Livebook_211019.pdf,8,Gesundheit,Stufe 1,Essen,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,8,Gesundheit,Stufe 1,Rein,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,8,Globale Entwicklung und Frieden,Stufe 3,Bildung,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,8,Globale Entwicklung und Frieden,Stufe 1,Hilfe,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,8,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Essen,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,8,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Werte,1,3,1,1,6,3.95
84000_mb1_sb_Livebook_211019.pdf,8,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,0,0,0,1,1,0.1
84000_mb1_sb_Livebook_211019.pdf,8,Natürliche Umwelt und Ressourcen,Stufe 2,Material,0,0,0,2,2,0.2
"84000_mb1_sb_Livebook_211019.pdf,8,""Politik, Demokratie und Menschenrechte"",Stufe 3,Gleichheit,0,0,1,1,2,0.7"
"84000_mb1_sb_Livebook_211019.pdf,8,""Politik, Demokratie und Menschenrechte"",Stufe 1,Stimme,0,0,0,2,2,0.2"
"84000_mb1_sb_Livebook_211019.pdf,8,""Politik, Demokratie und Menschenrechte"",Stufe 1,Wert,3,1,1,1,6,4.35"
84000_mb1_sb_Livebook_211019.pdf,8,Wirtschaft und Konsum,Stufe 1,Geld,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,8,Wirtschaft und Konsum,Stufe 1,Tausch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,9,Geschlechter und Gleichstellung,Stufe 1,Mann,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,9,Geschlechter und Gleichstellung,Stufe 1,gleich,0,1,1,4,6,1.65
84000_mb1_sb_Livebook_211019.pdf,9,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,9,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,0,0,0,1,1,0.1
"84000_mb1_sb_Livebook_211019.pdf,9,""Politik, Demokratie und Menschenrechte"",Stufe 3,Gleichheit,0,1,4,1,6,3.25"
"84000_mb1_sb_Livebook_211019.pdf,9,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,2,0,0,2,1.5"
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 2,Angebot,0,4,0,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 1,Kauf,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 2,Kosten,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 1,Preis,2,0,2,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 2,Preis,2,0,2,0,4,3.0
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 1,Produkt,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 2,Produktion,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,9,Wirtschaft und Konsum,Stufe 3,Produktion,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,10,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,6,0,0,0,6,6.0
84000_mb1_sb_Livebook_211019.pdf,10,Geschlechter und Gleichstellung,Stufe 1,Mann,0,2,0,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,10,Geschlechter und Gleichstellung,Stufe 1,Rolle,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,10,Gesundheit,Stufe 1,Sport,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,10,Globale Entwicklung und Frieden,Stufe 1,Unterstützung,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,10,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Brauch,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,10,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Fest,0,0,2,0,2,1.0
84000_mb1_sb_Livebook_211019.pdf,10,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Musik,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,10,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Sprache,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,10,Natürliche Umwelt und Ressourcen,Stufe 1,Erde,0,0,0,3,3,0.3
84000_mb1_sb_Livebook_211019.pdf,10,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,0,0,0,3,3,0.3
"84000_mb1_sb_Livebook_211019.pdf,10,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,1,1,0,2,1.25"
"84000_mb1_sb_Livebook_211019.pdf,10,""Politik, Demokratie und Menschenrechte"",Stufe 1,Regeln,0,0,2,1,3,1.1"
84000_mb1_sb_Livebook_211019.pdf,10,Wirtschaft und Konsum,Stufe 1,Tausch,0,2,1,0,3,2.0
84000_mb1_sb_Livebook_211019.pdf,11,Geschlechter und Gleichstellung,Stufe 1,Mann,0,5,0,0,5,3.75
84000_mb1_sb_Livebook_211019.pdf,11,Geschlechter und Gleichstellung,Stufe 2,Recht,0,2,0,0,2,1.5
84000_mb1_sb_Livebook_211019.pdf,11,Geschlechter und Gleichstellung,Stufe 1,Rolle,0,0,0,2,2,0.2
84000_mb1_sb_Livebook_211019.pdf,11,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 1,Art,0,0,0,2,2,0.2
84000_mb1_sb_Livebook_211019.pdf,11,Kulturelle Identitäten und interkulturelle Verständigung,Stufe 2,Werte,1,0,0,0,1,1.0
84000_mb1_sb_Livebook_211019.pdf,11,Natürliche Umwelt und Ressourcen,Stufe 1,Tier,0,0,0,1,1,0.1
"84000_mb1_sb_Livebook_211019.pdf,11,""Politik, Demokratie und Menschenrechte"",Stufe 3,Mehrheit,0,0,2,0,2,1.0"
"84000_mb1_sb_Livebook_211019.pdf,11,""Politik, Demokratie und Menschenrechte"",Stufe 1,Recht,0,2,0,0,2,1.5"
"84000_mb1_sb_Livebook_211019.pdf,11,""Politik, Demokratie und Menschenrechte"",Stufe 2,Rechte,0,2,0,0,2,1.5"
"84000_mb1_sb_Livebook_211019.pdf,11,""Politik, Demokratie und Menschenrechte"",Stufe 1,Regeln,0,0,0,1,1,0.1"
"84000_mb1_sb_Livebook_211019.pdf,11,""Politik, Demokratie und Menschenrechte"",Stufe 1,Wert,0,1,0,0,1,0.75"
84000_mb1_sb_Livebook_211019.pdf,11,Wirtschaft und Konsum,Stufe 1,Tausch,0,1,0,0,1,0.75
84000_mb1_sb_Livebook_211019.pdf,12,Geschlechter und Gleichstellung,Stufe 3,Aufgaben,3,1,0,0,4,3.75
84000_mb1_sb_Livebook_211019.pdf,12,Geschlechter und Gleichstellung,Stufe 2,Recht,0,0,1,0,1,0.5
84000_mb1_sb_Livebook_211019.pdf,12,Globale Entwicklung und Frieden,Stufe 1,Hilfe,0,0,1,0,1,0.5
